Source Title;Country;jif;year;Collection
NINETEENTH-CENTURY CONTEXTS-AN INTERDISCIPLINARY JOURNAL;ENGLAND;0,2;2022;AHCI
NINETEENTH-CENTURY CONTEXTS-AN INTERDISCIPLINARY JOURNAL;ENGLAND;;2021;AHCI
2D MATERIALS;ENGLAND;5,5;2022;SCIE
2D MATERIALS;ENGLAND;6,861;2021;SCIE
3 BIOTECH;GERMANY;2,8;2022;SCIE
3 BIOTECH;GERMANY;2,893;2021;SCIE
3D PRINTING AND ADDITIVE MANUFACTURING;UNITED STATES OF AMERICA;3,1;2022;SCIE
3D PRINTING AND ADDITIVE MANUFACTURING;UNITED STATES OF AMERICA;5,355;2021;SCIE
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH;GERMANY;2;2022;SCIE
4OR-A QUARTERLY JOURNAL OF OPERATIONS RESEARCH;GERMANY;1,763;2021;SCIE
AAPG BULLETIN;UNITED STATES OF AMERICA;3,5;2022;SCIE
AAPG BULLETIN;UNITED STATES OF AMERICA;3,863;2021;SCIE
AAPS JOURNAL;UNITED STATES OF AMERICA;4,5;2022;SCIE
AAPS JOURNAL;UNITED STATES OF AMERICA;3,603;2021;SCIE
AAPS PHARMSCITECH;UNITED STATES OF AMERICA;3,3;2022;SCIE
AAPS PHARMSCITECH;UNITED STATES OF AMERICA;4,026;2021;SCIE
AATCC JOURNAL OF RESEARCH;UNITED STATES OF AMERICA;0,7;2022;SCIE
AATCC JOURNAL OF RESEARCH;UNITED STATES OF AMERICA;0,726;2021;SCIE
3C EMPRESA;SPAIN;0,3;2022;ESCI
3C EMPRESA;SPAIN;;2021;ESCI
AATCC REVIEW;UNITED STATES OF AMERICA;0,778;2021;SCIE
ABDOMINAL RADIOLOGY;UNITED STATES OF AMERICA;2,4;2022;SCIE
ABDOMINAL RADIOLOGY;UNITED STATES OF AMERICA;2,886;2021;SCIE
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG;GERMANY;0,4;2022;SCIE
ABHANDLUNGEN AUS DEM MATHEMATISCHEN SEMINAR DER UNIVERSITAT HAMBURG;GERMANY;0,5;2021;SCIE
ACADEMIC EMERGENCY MEDICINE;UNITED STATES OF AMERICA;4,4;2022;SCIE
ACADEMIC EMERGENCY MEDICINE;UNITED STATES OF AMERICA;5,221;2021;SCIE
3C TECNOLOGIA;SPAIN;0,3;2022;ESCI
3C TECNOLOGIA;SPAIN;;2021;ESCI
ACADEMIC MEDICINE;UNITED STATES OF AMERICA;7,4;2022;SCIE
ACADEMIC MEDICINE;UNITED STATES OF AMERICA;8,034;2021;SCIE
ACADEMIC PEDIATRICS;UNITED STATES OF AMERICA;3,1;2022;SCIE
ACADEMIC PEDIATRICS;UNITED STATES OF AMERICA;2,993;2021;SCIE
ACADEMIC RADIOLOGY;UNITED STATES OF AMERICA;4,8;2022;SCIE
ACADEMIC RADIOLOGY;UNITED STATES OF AMERICA;5,482;2021;SCIE
ACAROLOGIA;FRANCE;1,1;2022;SCIE
ACAROLOGIA;FRANCE;1,475;2021;SCIE
3C TIC;SPAIN;0,4;2022;ESCI
3C TIC;SPAIN;;2021;ESCI
ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY;UNITED STATES OF AMERICA;3,4;2022;SCIE
ACCOUNTABILITY IN RESEARCH-ETHICS INTEGRITY AND POLICY;UNITED STATES OF AMERICA;3,057;2021;SCIE
ACCOUNTS OF CHEMICAL RESEARCH;UNITED STATES OF AMERICA;18,3;2022;SCIE
ACCOUNTS OF CHEMICAL RESEARCH;UNITED STATES OF AMERICA;24,466;2021;SCIE
ACCREDITATION AND QUALITY ASSURANCE;GERMANY;0,9;2022;SCIE
