"";"link";"url";"num";"year";"...5";"L1"
"1";"
 № 1";"contents.asp?id=67878690";"1";"2024";"24.06.2024";"Автоматика и телемеханика"
"2";"
 № 2";"contents.asp?id=67862994";"2";"2024";"22.06.2024";"Автоматика и телемеханика"
"3";"
 № 3";"contents.asp?id=67861167";"3";"2024";"22.06.2024";"Автоматика и телемеханика"
"4";"
 № 4";"contents.asp?id=67861177";"4";"2024";"22.06.2024";"Автоматика и телемеханика"
"5";"
 № 5";"contents.asp?id=67926561";"5";"2024";"04.07.2024";"Автоматика и телемеханика"
"6";"
 № 6";"contents.asp?id=68544835";"6";"2024";"07.08.2024";"Автоматика и телемеханика"
"7";"
 № 7";"contents.asp?id=68536861";"7";"2024";"06.08.2024";"Автоматика и телемеханика"
"8";"
 № 8";"contents.asp?id=68624936";"8";"2024";"26.08.2024";"Автоматика и телемеханика"
"9";"
 № 9";"contents.asp?id=69203884";"9";"2024";"20.09.2024";"Автоматика и телемеханика"
"10";"
 № 10";"contents.asp?id=72431769";"10";"2024";"11.10.2024";"Автоматика и телемеханика"
"11";"
 № 11";"contents.asp?id=74210690";"11";"2024";"01.11.2024";"Автоматика и телемеханика"
"12";"
 № 12";"contents.asp?id=75134437";"12";"2024";"05.12.2024";"Автоматика и телемеханика"
"13";"
 № 1";"contents.asp?id=50415468";"1";"2023";"28.03.2023";"Автоматика и телемеханика"
"14";"
 № 2";"contents.asp?id=50417418";"2";"2023";"28.03.2023";"Автоматика и телемеханика"
"15";"
 № 3";"contents.asp?id=50413966";"3";"2023";"27.03.2023";"Автоматика и телемеханика"
"16";"
 № 4";"contents.asp?id=50821624";"4";"2023";"28.04.2023";"Автоматика и телемеханика"
"17";"
 № 5";"contents.asp?id=53847235";"5";"2023";"02.06.2023";"Автоматика и телемеханика"
"18";"
 № 6";"contents.asp?id=54042047";"6";"2023";"27.06.2023";"Автоматика и телемеханика"
"19";"
 № 7";"contents.asp?id=54356667";"7";"2023";"31.08.2023";"Автоматика и телемеханика"
"20";"
 № 8";"contents.asp?id=54361618";"8";"2023";"01.09.2023";"Автоматика и телемеханика"
"21";"
 № 9";"contents.asp?id=54485842";"9";"2023";"18.09.2023";"Автоматика и телемеханика"
"22";"
 № 10";"contents.asp?id=54707172";"10";"2023";"23.10.2023";"Автоматика и телемеханика"
"23";"
 № 11";"contents.asp?id=54879972";"11";"2023";"20.11.2023";"Автоматика и телемеханика"
"24";"
 № 12";"contents.asp?id=54967345";"12";"2023";"07.12.2023";"Автоматика и телемеханика"
"25";"
 № 1";"contents.asp?id=47907927";"1";"2022";"07.02.2022";"Автоматика и телемеханика"
"26";"
 № 2";"contents.asp?id=47937587";"2";"2022";"10.02.2022";"Автоматика и телемеханика"
"27";"
 № 3";"contents.asp?id=48056293";"3";"2022";"10.03.2022";"Автоматика и телемеханика"
"28";"
 № 4";"contents.asp?id=48359084";"4";"2022";"02.05.2022";"Автоматика и телемеханика"
"29";"
 № 5";"contents.asp?id=48359536";"5";"2022";"02.05.2022";"Автоматика и телемеханика"
"30";"
 № 6";"contents.asp?id=48437588";"6";"2022";"14.05.2022";"Автоматика и телемеханика"
"31";"
 № 7";"contents.asp?id=48592407";"7";"2022";"08.06.2022";"Автоматика и телемеханика"
"32";"
 № 8";"contents.asp?id=49202292";"8";"2022";"25.07.2022";"Автоматика и телемеханика"
"33";"
 № 9";"contents.asp?id=49337945";"9";"2022";"28.08.2022";"Автоматика и телемеханика"
"34";"
 № 10";"contents.asp?id=49491951";"10";"2022";"05.10.2022";"Автоматика и телемеханика"
"35";"
 № 11";"contents.asp?id=49611703";"11";"2022";"02.11.2022";"Автоматика и телемеханика"
"36";"
 № 12";"contents.asp?id=49830851";"12";"2022";"30.11.2022";"Автоматика и телемеханика"
"37";"
 № 1";"contents.asp?id=44667618";"1";"2021";"10.02.2021";"Автоматика и телемеханика"
"38";"
 № 2";"contents.asp?id=44771495";"2";"2021";"02.03.2021";"Автоматика и телемеханика"
"39";"
 № 3";"contents.asp?id=44805733";"3";"2021";"10.03.2021";"Автоматика и телемеханика"
"40";"
 № 4";"contents.asp?id=45134700";"4";"2021";"08.04.2021";"Автоматика и телемеханика"
"41";"
 № 5";"contents.asp?id=45738671";"5";"2021";"21.05.2021";"Автоматика и телемеханика"
"42";"
 № 6";"contents.asp?id=45829223";"6";"2021";"03.06.2021";"Автоматика и телемеханика"
