"";"link";"url";"num";"year";"...5";"L1"
"1";"
 № 1";"contents.asp?id=67878690";"Номер: 1";"Год: 2024";"Дата размещения:24.06.2024";"Автоматика и телемеханика"
"2";"
 № 2";"contents.asp?id=67862994";"Номер: 2";"Год: 2024";"Дата размещения:22.06.2024";"Автоматика и телемеханика"
"3";"
 № 3";"contents.asp?id=67861167";"Номер: 3";"Год: 2024";"Дата размещения:22.06.2024";"Автоматика и телемеханика"
"4";"
 № 4";"contents.asp?id=67861177";"Номер: 4";"Год: 2024";"Дата размещения:22.06.2024";"Автоматика и телемеханика"
"5";"
 № 5";"contents.asp?id=67926561";"Номер: 5";"Год: 2024";"Дата размещения:04.07.2024";"Автоматика и телемеханика"
"6";"
 № 6";"contents.asp?id=68544835";"Номер: 6";"Год: 2024";"Дата размещения:07.08.2024";"Автоматика и телемеханика"
"7";"
 № 7";"contents.asp?id=68536861";"Номер: 7";"Год: 2024";"Дата размещения:06.08.2024";"Автоматика и телемеханика"
"8";"
 № 8";"contents.asp?id=68624936";"Номер: 8";"Год: 2024";"Дата размещения:26.08.2024";"Автоматика и телемеханика"
"9";"
 № 9";"contents.asp?id=69203884";"Номер: 9";"Год: 2024";"Дата размещения:20.09.2024";"Автоматика и телемеханика"
"10";"
 № 10";"contents.asp?id=72431769";"Номер: 10";"Год: 2024";"Дата размещения:11.10.2024";"Автоматика и телемеханика"
"11";"
 № 11";"contents.asp?id=74210690";"Номер: 11";"Год: 2024";"Дата размещения:01.11.2024";"Автоматика и телемеханика"
"12";"
 № 12";"contents.asp?id=75134437";"Номер: 12";"Год: 2024";"Дата размещения:05.12.2024";"Автоматика и телемеханика"
"13";"
 № 1";"contents.asp?id=50415468";"Номер: 1";"Год: 2023";"Дата размещения:28.03.2023";"Автоматика и телемеханика"
"14";"
 № 2";"contents.asp?id=50417418";"Номер: 2";"Год: 2023";"Дата размещения:28.03.2023";"Автоматика и телемеханика"
"15";"
 № 3";"contents.asp?id=50413966";"Номер: 3";"Год: 2023";"Дата размещения:27.03.2023";"Автоматика и телемеханика"
"16";"
 № 4";"contents.asp?id=50821624";"Номер: 4";"Год: 2023";"Дата размещения:28.04.2023";"Автоматика и телемеханика"
"17";"
 № 5";"contents.asp?id=53847235";"Номер: 5";"Год: 2023";"Дата размещения:02.06.2023";"Автоматика и телемеханика"
"18";"
 № 6";"contents.asp?id=54042047";"Номер: 6";"Год: 2023";"Дата размещения:27.06.2023";"Автоматика и телемеханика"
"19";"
 № 7";"contents.asp?id=54356667";"Номер: 7";"Год: 2023";"Дата размещения:31.08.2023";"Автоматика и телемеханика"
"20";"
 № 8";"contents.asp?id=54361618";"Номер: 8";"Год: 2023";"Дата размещения:01.09.2023";"Автоматика и телемеханика"
"21";"
 № 9";"contents.asp?id=54485842";"Номер: 9";"Год: 2023";"Дата размещения:18.09.2023";"Автоматика и телемеханика"
"22";"
 № 10";"contents.asp?id=54707172";"Номер: 10";"Год: 2023";"Дата размещения:23.10.2023";"Автоматика и телемеханика"
"23";"
 № 11";"contents.asp?id=54879972";"Номер: 11";"Год: 2023";"Дата размещения:20.11.2023";"Автоматика и телемеханика"
"24";"
 № 12";"contents.asp?id=54967345";"Номер: 12";"Год: 2023";"Дата размещения:07.12.2023";"Автоматика и телемеханика"
