openalex_id;display_name;normalized_name;level;wikidata_id;parent_display_names;parent_ids
https://openalex.org/C64584667;Pigment;pigment;2;https://www.wikidata.org/wiki/Q161179;Organic chemistry, Visual arts;https://openalex.org/C178790620, https://openalex.org/C153349607
https://openalex.org/C2992598406;Art and design;art and design;2;https://www.wikidata.org/wiki/Q185925;Visual arts;https://openalex.org/C153349607
https://openalex.org/C2779674283;Palette (painting);palette;2;https://www.wikidata.org/wiki/Q425548;Operating system, Visual arts;https://openalex.org/C111919701, https://openalex.org/C153349607
https://openalex.org/C2780844854;Medical illustration;medical illustration;2;https://www.wikidata.org/wiki/Q6806548;Pathology, Surgery, Visual arts;https://openalex.org/C142724271, https://openalex.org/C141071460, https://openalex.org/C153349607
https://openalex.org/C2994170677;Art market;art market;2;https://www.wikidata.org/wiki/Q1239532;Aesthetics, Art history, Humanities, Visual arts;https://openalex.org/C107038049, https://openalex.org/C52119013, https://openalex.org/C15708023, https://openalex.org/C153349607
https://openalex.org/C2777402240;Masking (illustration);masking;2;https://www.wikidata.org/wiki/Q6783436;Literature, Visual arts;https://openalex.org/C124952713, https://openalex.org/C153349607
https://openalex.org/C177515723;Shading;shading;2;https://www.wikidata.org/wiki/Q1191981;Computer graphics (images), Visual arts;https://openalex.org/C121684516, https://openalex.org/C153349607
https://openalex.org/C2776453491;Harmony (color);harmony;2;https://www.wikidata.org/wiki/Q5659234;Optics, Visual arts;https://openalex.org/C120665830, https://openalex.org/C153349607
https://openalex.org/C2779685930;Cityscape;cityscape;2;https://www.wikidata.org/wiki/Q1935974;Visual arts;https://openalex.org/C153349607
https://openalex.org/C2779867537;Work of art;work of art;2;https://www.wikidata.org/wiki/Q838948;Aesthetics, Visual arts;https://openalex.org/C107038049, https://openalex.org/C153349607
https://openalex.org/C187412358;Visual culture;visual culture;2;https://www.wikidata.org/wiki/Q861716;Anthropology, Visual arts;https://openalex.org/C19165224, https://openalex.org/C153349607
https://openalex.org/C2993508470;Asian culture;asian culture;2;https://www.wikidata.org/wiki/Q149806;Anthropology, Ethnology, Visual arts;https://openalex.org/C19165224, https://openalex.org/C2549261, https://openalex.org/C153349607
https://openalex.org/C2776445246;Style (visual arts);style;2;https://www.wikidata.org/wiki/Q1792644;Archaeology, Literature, Visual arts;https://openalex.org/C166957645, https://openalex.org/C124952713, https://openalex.org/C153349607
https://openalex.org/C554736915;Ancient art;ancient art;2;https://www.wikidata.org/wiki/Q2277510;Ancient history, Art history, Visual arts;https://openalex.org/C195244886, https://openalex.org/C52119013, https://openalex.org/C153349607
