"";"inst_all"
"1";"https://openalex.org/I100005738"
"2";"https://openalex.org/I100066346"
"3";"https://openalex.org/I100072489"
"4";"https://openalex.org/I100086675"
"5";"https://openalex.org/I10011244"
"6";"https://openalex.org/I100116408"
"7";"https://openalex.org/I10017102"
"8";"https://openalex.org/I100191712"
"9";"https://openalex.org/I100205273"
"10";"https://openalex.org/I100236772"
"11";"https://openalex.org/I100286613"
"12";"https://openalex.org/I100296615"
"13";"https://openalex.org/I100352790"
"14";"https://openalex.org/I100406981"
"15";"https://openalex.org/I100417612"
"16";"https://openalex.org/I10052268"
"17";"https://openalex.org/I100538780"
"18";"https://openalex.org/I100722782"
"19";"https://openalex.org/I100749904"
"20";"https://openalex.org/I100887729"
"21";"https://openalex.org/I10091056"
"22";"https://openalex.org/I100930933"
"23";"https://openalex.org/I101100930"
"24";"https://openalex.org/I101202996"
"25";"https://openalex.org/I101240087"
"26";"https://openalex.org/I101343708"
"27";"https://openalex.org/I101407740"
"28";"https://openalex.org/I101479585"
"29";"https://openalex.org/I101659749"
"30";"https://openalex.org/I10180231"
"31";"https://openalex.org/I101840525"
"32";"https://openalex.org/I101993903"
"33";"https://openalex.org/I102015815"
"34";"https://openalex.org/I102064193"
"35";"https://openalex.org/I102065260"
"36";"https://openalex.org/I102117144"
"37";"https://openalex.org/I102134673"
"38";"https://openalex.org/I10213569"
"39";"https://openalex.org/I102149020"
"40";"https://openalex.org/I102179633"
"41";"https://openalex.org/I102190016"
"42";"https://openalex.org/I102208913"
"43";"https://openalex.org/I102239671"
"44";"https://openalex.org/I102248843"
"45";"https://openalex.org/I102254642"
"46";"https://openalex.org/I102322142"
"47";"https://openalex.org/I10232997"
"48";"https://openalex.org/I102335020"
"49";"https://openalex.org/I102345215"
"50";"https://openalex.org/I102347383"
"51";"https://openalex.org/I102373834"
"52";"https://openalex.org/I10245363"
"53";"https://openalex.org/I102461120"
"54";"https://openalex.org/I102471911"
"55";"https://openalex.org/I102502594"
"56";"https://openalex.org/I102555177"
"57";"https://openalex.org/I102607778"
"58";"https://openalex.org/I102669525"
"59";"https://openalex.org/I102716817"
"60";"https://openalex.org/I102782458"
"61";"https://openalex.org/I102786147"
"62";"https://openalex.org/I102808428"
"63";"https://openalex.org/I102822971"
"64";"https://openalex.org/I102882674"
"65";"https://openalex.org/I102893293"
"66";"https://openalex.org/I102913810"
"67";"https://openalex.org/I102939073"
"68";"https://openalex.org/I103031861"
"69";"https://openalex.org/I103084370"
"70";"https://openalex.org/I103087548"
"71";"https://openalex.org/I103146751"
"72";"https://openalex.org/I103163165"
"73";"https://openalex.org/I103187081"
"74";"https://openalex.org/I103225651"
"75";"https://openalex.org/I103250015"
"76";"https://openalex.org/I103320735"
"77";"https://openalex.org/I103390050"
"78";"https://openalex.org/I103402955"
"79";"https://openalex.org/I103406327"
"80";"https://openalex.org/I10342815"
"81";"https://openalex.org/I103434671"
"82";"https://openalex.org/I103497121"
"83";"https://openalex.org/I103531236"
"84";"https://openalex.org/I103562704"
"85";"https://openalex.org/I10356626"
"86";"https://openalex.org/I103583917"
"87";"https://openalex.org/I103605065"
"88";"https://openalex.org/I10363089"
"89";"https://openalex.org/I103635307"
"90";"https://openalex.org/I103703290"
"91";"https://openalex.org/I103737770"
"92";"https://openalex.org/I103855431"
"93";"https://openalex.org/I103893186"
"94";"https://openalex.org/I103911934"
"95";"https://openalex.org/I104546213"
"96";"https://openalex.org/I104579289"
"97";"https://openalex.org/I104588304"
"98";"https://openalex.org/I104651037"
"99";"https://openalex.org/I104658917"
"100";"https://openalex.org/I104817121"
"101";"https://openalex.org/I104854061"
"102";"https://openalex.org/I104906788"
"103";"https://openalex.org/I1049131"
"104";"https://openalex.org/I104914703"
"105";"https://openalex.org/I104941359"
"106";"https://openalex.org/I104946051"
"107";"https://openalex.org/I104954885"
"108";"https://openalex.org/I10496686"
"109";"https://openalex.org/I105056648"
"110";"https://openalex.org/I105094715"
"111";"https://openalex.org/I105126617"
"112";"https://openalex.org/I105208703"
"113";"https://openalex.org/I10535382"
"114";"https://openalex.org/I105410415"
"115";"https://openalex.org/I105454292"
"116";"https://openalex.org/I105818395"
"117";"https://openalex.org/I105991555"
"118";"https://openalex.org/I106053113"
"119";"https://openalex.org/I106079672"
"120";"https://openalex.org/I106107269"
"121";"https://openalex.org/I106118109"
"122";"https://openalex.org/I106157433"
"123";"https://openalex.org/I106165777"
"124";"https://openalex.org/I106245021"
"125";"https://openalex.org/I10627620"
"126";"https://openalex.org/I106296451"
"127";"https://openalex.org/I106542073"
"128";"https://openalex.org/I10660446"
"129";"https://openalex.org/I106645853"
"130";"https://openalex.org/I106663880"
"131";"https://openalex.org/I106707670"
"132";"https://openalex.org/I106778892"
"133";"https://openalex.org/I106785703"
"134";"https://openalex.org/I106826634"
"135";"https://openalex.org/I106845459"
"136";"https://openalex.org/I106938459"
"137";"https://openalex.org/I106959904"
"138";"https://openalex.org/I106969075"
"139";"https://openalex.org/I106980716"
"140";"https://openalex.org/I107077323"
"141";"https://openalex.org/I107139065"
"142";"https://openalex.org/I107139324"
"143";"https://openalex.org/I107158390"
"144";"https://openalex.org/I107165708"
"145";"https://openalex.org/I107326029"
"146";"https://openalex.org/I107363760"
"147";"https://openalex.org/I107371206"
"148";"https://openalex.org/I107428990"
"149";"https://openalex.org/I107470533"
"150";"https://openalex.org/I107502644"
"151";"https://openalex.org/I107603542"
"152";"https://openalex.org/I107639228"
"153";"https://openalex.org/I107640659"
"154";"https://openalex.org/I107672454"
"155";"https://openalex.org/I10767319"
"156";"https://openalex.org/I107707843"
"157";"https://openalex.org/I107720978"
"158";"https://openalex.org/I107949126"
"159";"https://openalex.org/I107982497"
"160";"https://openalex.org/I108103353"
"161";"https://openalex.org/I108108428"
"162";"https://openalex.org/I108160477"
"163";"https://openalex.org/I108192572"
"164";"https://openalex.org/I10824318"
"165";"https://openalex.org/I108245028"
"166";"https://openalex.org/I108290504"
"167";"https://openalex.org/I108294501"
"168";"https://openalex.org/I108321963"
"169";"https://openalex.org/I108377105"
"170";"https://openalex.org/I108403487"
"171";"https://openalex.org/I108541056"
"172";"https://openalex.org/I108688024"
"173";"https://openalex.org/I108714496"
"174";"https://openalex.org/I10874241"
"175";"https://openalex.org/I108754898"
"176";"https://openalex.org/I10889393"
"177";"https://openalex.org/I108907416"
"178";"https://openalex.org/I10899854"
"179";"https://openalex.org/I10902133"
"180";"https://openalex.org/I109173049"
"181";"https://openalex.org/I109289231"
"182";"https://openalex.org/I109297418"
"183";"https://openalex.org/I109556086"
"184";"https://openalex.org/I109689652"
"185";"https://openalex.org/I109703491"
"186";"https://openalex.org/I109705148"
"187";"https://openalex.org/I109935558"
"188";"https://openalex.org/I109954829"
"189";"https://openalex.org/I109995039"
"190";"https://openalex.org/I110002522"
"191";"https://openalex.org/I110017253"
"192";"https://openalex.org/I110026055"
"193";"https://openalex.org/I110079840"
"194";"https://openalex.org/I110109458"
"195";"https://openalex.org/I110116418"
"196";"https://openalex.org/I110118728"
"197";"https://openalex.org/I110120368"
"198";"https://openalex.org/I110152177"
"199";"https://openalex.org/I110166357"
"200";"https://openalex.org/I11019714"
"201";"https://openalex.org/I110200422"
"202";"https://openalex.org/I110210549"
