"";"inst_all";"V2"
"1";"https://openalex.org/I100005738";26
"2";"https://openalex.org/I100066346";8
"3";"https://openalex.org/I100072489";4
"4";"https://openalex.org/I100086675";14
"5";"https://openalex.org/I10011244";15
"6";"https://openalex.org/I100116408";27
"7";"https://openalex.org/I10017102";11
"8";"https://openalex.org/I100191712";4
"9";"https://openalex.org/I100205273";38
"10";"https://openalex.org/I100236772";1
"11";"https://openalex.org/I100286613";2
"12";"https://openalex.org/I100296615";4
"13";"https://openalex.org/I100352790";4
"14";"https://openalex.org/I100406981";11
"15";"https://openalex.org/I100417612";1
"16";"https://openalex.org/I10052268";10
"17";"https://openalex.org/I100538780";1
"18";"https://openalex.org/I100722782";7
"19";"https://openalex.org/I100749904";6
"20";"https://openalex.org/I100887729";5
"21";"https://openalex.org/I10091056";23
"22";"https://openalex.org/I100930933";36
"23";"https://openalex.org/I101100930";30
"24";"https://openalex.org/I101202996";2
"25";"https://openalex.org/I101240087";2
"26";"https://openalex.org/I101343708";2
"27";"https://openalex.org/I101407740";36
"28";"https://openalex.org/I101479585";29
"29";"https://openalex.org/I101659749";2
"30";"https://openalex.org/I10180231";3
"31";"https://openalex.org/I101840525";2
"32";"https://openalex.org/I101993903";15
"33";"https://openalex.org/I102015815";15
"34";"https://openalex.org/I102064193";25
"35";"https://openalex.org/I102065260";1
"36";"https://openalex.org/I102117144";9
"37";"https://openalex.org/I102134673";23
"38";"https://openalex.org/I10213569";6
"39";"https://openalex.org/I102149020";14
"40";"https://openalex.org/I102179633";10
"41";"https://openalex.org/I102190016";2
"42";"https://openalex.org/I102208913";8
"43";"https://openalex.org/I102239671";6
"44";"https://openalex.org/I102248843";21
"45";"https://openalex.org/I102254642";1
"46";"https://openalex.org/I102322142";34
"47";"https://openalex.org/I10232997";60
"48";"https://openalex.org/I102335020";10
"49";"https://openalex.org/I102345215";17
"50";"https://openalex.org/I102347383";43
"51";"https://openalex.org/I102373834";2
"52";"https://openalex.org/I10245363";4
"53";"https://openalex.org/I102461120";7
"54";"https://openalex.org/I102471911";15
"55";"https://openalex.org/I102502594";8
"56";"https://openalex.org/I102555177";21
"57";"https://openalex.org/I102607778";3
"58";"https://openalex.org/I102669525";100
"59";"https://openalex.org/I102716817";6
"60";"https://openalex.org/I102782458";8
"61";"https://openalex.org/I102786147";7
"62";"https://openalex.org/I102808428";34
"63";"https://openalex.org/I102822971";2
"64";"https://openalex.org/I102882674";9
"65";"https://openalex.org/I102893293";242
"66";"https://openalex.org/I102913810";11
"67";"https://openalex.org/I102939073";31
"68";"https://openalex.org/I103031861";157
"69";"https://openalex.org/I103084370";4
"70";"https://openalex.org/I103087548";1
"71";"https://openalex.org/I103146751";4
"72";"https://openalex.org/I103163165";126
"73";"https://openalex.org/I103187081";8
"74";"https://openalex.org/I103225651";3
"75";"https://openalex.org/I103250015";7
"76";"https://openalex.org/I103320735";27
"77";"https://openalex.org/I103390050";7
"78";"https://openalex.org/I103402955";4
"79";"https://openalex.org/I103406327";13
"80";"https://openalex.org/I10342815";2
"81";"https://openalex.org/I103434671";4
"82";"https://openalex.org/I103497121";3
"83";"https://openalex.org/I103531236";13
"84";"https://openalex.org/I103562704";2
"85";"https://openalex.org/I10356626";1
"86";"https://openalex.org/I103583917";2
"87";"https://openalex.org/I103605065";4
"88";"https://openalex.org/I10363089";1
"89";"https://openalex.org/I103635307";7
"90";"https://openalex.org/I103703290";52
"91";"https://openalex.org/I103737770";17
"92";"https://openalex.org/I103855431";4
"93";"https://openalex.org/I103893186";2
"94";"https://openalex.org/I103911934";13
"95";"https://openalex.org/I104546213";7
"96";"https://openalex.org/I104579289";1
"97";"https://openalex.org/I104588304";76
"98";"https://openalex.org/I104651037";1
"99";"https://openalex.org/I104658917";8
"100";"https://openalex.org/I104817121";31
"101";"https://openalex.org/I104854061";18
"102";"https://openalex.org/I104906788";1
"103";"https://openalex.org/I1049131";3
"104";"https://openalex.org/I104914703";6
"105";"https://openalex.org/I104941359";10
"106";"https://openalex.org/I104946051";7
"107";"https://openalex.org/I104954885";2
"108";"https://openalex.org/I10496686";3
"109";"https://openalex.org/I105056648";26
"110";"https://openalex.org/I105094715";3
"111";"https://openalex.org/I105126617";18
"112";"https://openalex.org/I105208703";9
"113";"https://openalex.org/I10535382";5
"114";"https://openalex.org/I105410415";1
"115";"https://openalex.org/I105454292";16
"116";"https://openalex.org/I105818395";8
"117";"https://openalex.org/I105991555";3
"118";"https://openalex.org/I106053113";4
"119";"https://openalex.org/I106079672";5
"120";"https://openalex.org/I106107269";4
"121";"https://openalex.org/I106118109";51
"122";"https://openalex.org/I106157433";12
"123";"https://openalex.org/I106165777";464
"124";"https://openalex.org/I106245021";5
"125";"https://openalex.org/I10627620";4
"126";"https://openalex.org/I106296451";23
"127";"https://openalex.org/I106542073";22
"128";"https://openalex.org/I10660446";22
"129";"https://openalex.org/I106645853";2
"130";"https://openalex.org/I106663880";20
"131";"https://openalex.org/I106707670";1
"132";"https://openalex.org/I106778892";41
"133";"https://openalex.org/I106785703";7
"134";"https://openalex.org/I106826634";11
"135";"https://openalex.org/I106845459";1
"136";"https://openalex.org/I106938459";9
"137";"https://openalex.org/I106959904";4
"138";"https://openalex.org/I106969075";5
"139";"https://openalex.org/I106980716";2
"140";"https://openalex.org/I107077323";5
"141";"https://openalex.org/I107139065";10
"142";"https://openalex.org/I107139324";5
"143";"https://openalex.org/I107158390";2
"144";"https://openalex.org/I107165708";1
"145";"https://openalex.org/I107326029";1
"146";"https://openalex.org/I107363760";1
"147";"https://openalex.org/I107371206";15
"148";"https://openalex.org/I107428990";2
"149";"https://openalex.org/I107470533";41
"150";"https://openalex.org/I107502644";6
"151";"https://openalex.org/I107603542";2
"152";"https://openalex.org/I107639228";16
"153";"https://openalex.org/I107640659";140
"154";"https://openalex.org/I107672454";10
"155";"https://openalex.org/I10767319";2
"156";"https://openalex.org/I107707843";41
"157";"https://openalex.org/I107720978";36
"158";"https://openalex.org/I107949126";8
"159";"https://openalex.org/I107982497";9
"160";"https://openalex.org/I108103353";42
"161";"https://openalex.org/I108108428";34
"162";"https://openalex.org/I108160477";4
"163";"https://openalex.org/I108192572";13
