University_en;University;University_abbr;List;Anaesthesia, Emergency and Intensive Care;Anthropology;Applied geology, petroleum science and engineering;Archaeology and Conservation;Architecture and Design;Art History;Asian and African Studies;Biology;Biomedicine;Biotechnology;Business and Finance;Cardiovascular and Respiratory Systems;Chemical Engineering;Chemistry;Civil Engineering;Classical Studies;Computer Science and Informatics;Dance;Dentistry;Dermatology and Venerology;Development Studies;Earth sciences;Economics;Education and Educational Research;Electric power engineering;Electronics and cybernetics;Endocrinology;Energy;English Studies;Environmental technology and industrial ecology;Ethnology;Gastroenterology and Hepatology;Gender Studies;General Medicine;General Technology;Geography;Geriatrics;Germanic Studies;Gynecology and Obstetrics;Haematology;History;Industrial engineering and management;Infectious Diseases;Interdisciplinary Humanities;Interdisciplinary Natural Sciences;Interdisciplinary Social Sciences;Interdisciplinary Technology;Law;Library and Information Science;Linguistics ;Literature;Marine Technology;Materials Science and Engineering;Mathematics;Mechanical engineering;Media and Communication;Musicology;Nephrology;Neurology;Nursing;Nutrition;Oncology;Ophthalmology;Otorhinolaryngology;Pediatrics;Pharmacology and Toxicology;Philosophy and History of Ideas;Physics;Political Science;Psychiatry;Psychology;Public, Environmental and Occupational Health;Radiology, Nuclear Medicine and Medical Imaging;Rheumatology;Romance Studies;Scandinavian Studies;Slavonic Studies;Social Work;Sociology;Sport Sciences;Surgical Sciences;Theatre and Drama;Theology and religion;Veterinary Medicine
Yale University;Yale University;Yale University;NPI1;92;27;9;34;12;10;18;939;975;58;62;411;56;433;14;6;96;1;8;59;21;423;160;62;6;95;136;70;39;80;14;103;10;573;63;65;51;4;119;75;87;2;201;25;834;107;24;157;61;40;37;2;183;254;8;36;9;50;511;92;110;414;51;35;107;218;46;924;155;590;922;987;120;16;21;0;5;237;77;39;238;9;67;22
Tsinghua University;Tsinghua University;Tsinghua University;NPI1;4;5;186;1;20;0;18;1297;1108;314;751;104;1547;3418;1621;1;1605;0;14;18;13;2261;311;84;731;2697;73;2356;1;1048;4;49;4;254;1008;235;25;0;16;13;6;184;82;13;1425;167;908;11;262;27;7;230;4366;1290;839;28;0;7;287;7;58;211;32;28;21;303;20;3571;74;81;407;381;254;17;2;0;0;177;24;27;111;0;10;5
Lomonosov Moscow State University;Московский государственный университет имени М. В. Ломоносова;МГУ им.Ломоносова;NPI1;0;20;13;15;0;2;2;2950;1264;83;102;93;436;3603;148;4;241;0;1;6;4;1663;37;83;68;343;22;229;1;60;3;8;0;127;82;153;12;0;50;7;208;0;30;26;580;95;17;3;47;36;1;29;1476;2194;53;17;0;2;225;1;7;73;9;1;2;290;188;3168;74;11;282;64;33;3;1;0;66;15;47;32;13;0;23;7
Saint Petersburg State University;Санкт-Петербургский государственный университет;СПбГУ;NPI1;1;19;8;17;2;0;28;892;472;34;177;59;129;1762;28;59;77;0;1;9;2;886;36;89;12;168;21;55;2;27;3;5;0;59;29;49;2;1;32;6;206;2;7;37;271;95;15;11;30;48;2;6;811;1019;35;20;1;1;177;0;5;41;5;1;2;138;76;1299;80;31;163;30;3;6;1;0;85;22;64;26;15;0;19;3
Ural Federal University;Уральский федеральный университет имени первого Президента России Б.Н. Ельцина;УрФУ;NPI1;0;5;12;3;1;1;1;162;94;25;147;9;159;1206;4;0;34;0;1;0;1;191;55;121;54;173;1;189;0;50;3;0;0;6;102;51;0;0;4;2;45;1;3;14;185;34;27;0;16;49;1;0;1611;432;32;3;0;0;44;1;3;3;0;0;1;70;18;1019;58;6;44;29;5;0;0;1;111;9;12;36;0;0;7;2
Novosibirsk State University;Новосибирский Государственный Университет;НГУ;NPI1;2;3;13;30;0;0;2;334;357;17;7;23;107;1277;57;2;50;0;0;4;0;618;12;5;8;153;2;117;0;13;0;0;0;16;48;25;1;1;4;2;6;0;8;1;187;37;11;0;14;3;2;4;366;769;17;0;0;0;66;0;3;38;2;3;0;65;2;1118;3;7;33;7;8;0;0;0;7;3;4;2;2;0;0;6
Kazan Federal University;Казанский (Приволжский) федеральный университет;КФУ;NPI1;0;1;42;6;0;0;0;428;321;129;31;10;96;819;22;1;44;0;1;1;0;436;2;219;6;46;4;53;0;13;0;5;0;34;24;9;0;0;4;1;26;2;9;3;179;144;16;2;11;214;1;2;310;494;35;12;2;0;79;0;3;35;1;0;4;90;7;641;13;3;25;13;8;0;1;0;4;4;11;29;3;0;13;7
Peter the Great St. Petersburg Polytechnic University;Санкт-Петербургский политехнический университет Петра Великого;СПбПУ им.Петра Великого;NPI1;0;3;10;0;0;0;0;120;119;25;148;0;99;182;55;1;45;0;2;0;0;66;11;78;41;195;1;49;0;3;0;2;0;7;74;15;0;0;0;2;70;3;3;0;103;21;29;1;16;6;0;4;705;131;177;1;0;0;29;0;2;9;1;0;0;21;3;666;2;0;7;5;3;0;0;0;3;11;0;16;1;0;0;0
National Research Nuclear University MEPhI;"Национальный исследовательский ядерный университет ""МИФИ""";НИЯУ МИФИ;NPI1;0;0;7;0;0;0;0;55;81;6;2;4;56;251;7;0;30;0;0;0;0;48;5;25;31;184;0;65;1;3;0;0;0;15;73;0;0;0;2;0;1;1;9;0;102;1;4;0;7;2;0;2;437;200;23;1;0;0;4;0;0;23;2;0;0;19;2;2203;2;0;15;3;13;0;0;0;0;1;2;1;0;0;3;1
Tomsk State University;Томский государственный университет;ТГУ;NPI1;0;8;2;10;2;0;0;626;131;17;16;16;119;372;14;1;19;0;2;1;1;327;1;90;13;131;2;157;0;5;2;0;0;19;42;15;0;0;2;1;13;0;2;0;142;18;24;2;10;7;3;6;444;205;36;11;0;1;20;0;0;25;0;12;0;29;5;1019;21;15;29;10;25;0;0;0;9;3;13;5;3;0;3;4
