Rank;Publication;h5-index;h5-median;ISSN;РЦНИ;РЦНИ уровень;SJR;SJR best quartile
1;Экономика и социум;52;65;2225-1545;;;;
2;Молодой ученый;51;61;2072-0297;;;;
3;Инновационная экономика: перспективы развития и совершенствования;47;81;2311-410Х;;;;
4;Высшее образование в России;43;54;0869-3617|2072-0459;VYSSHEE OBRAZOVANIE V ROSSII|ВЫСШЕЕ ОБРАЗОВАНИЕ В РОССИИ;2;0,335;Q1
5;Вестник Мининского университета;42;59;2307-1281;;;;
6;Вопросы экономики;42;57;0042-8736;VOPROSY EKONOMIKI|ВОПРОСЫ ЭКОНОМИКИ;1;0,326;Q1
7;Экономика региона;41;53;2072-6414|2411-1406;ECONOMY OF REGIONS|ЭКОНОМИКА РЕГИОНА;1;;
8;Universum: технические науки;40;59;2311-5122;;;;
9;Образование и наука;38;54;1994-5639|2310-5828;OBRAZOVANIE I NAUKA - EDUCATION AND SCIENCE|ОБРАЗОВАНИЕ И НАУКА;2;0,253;Q3
10;Журнал российского права;38;52;1605-6590|2500-4298;ЖУРНАЛ РОССИЙСКОГО ПРАВА;2;;
11;Экономика и предпринимательство;38;49;1999-2300;;;;
12;Lex Russica;36;57;1729-5920|2686-7869;;;;
13;Наука и Образование;36;39;2658-5642;;;;
14;Вопросы образования;35;48;2412-4354|1814-9545;VOPROSY OBRAZOVANIYA / EDUCATIONAL STUDIES MOSCOW|ВОПРОСЫ ОБРАЗОВАНИЯ;1;0,378;Q2
15;Экономика и управление: проблемы, решения;35;48;2227-3891|2308-927Х;;;;
16;Актуальные проблемы российского права;35;45;1994-1471|2782-1862;;;;
17;Ученые записки университета им. ПФ Лесгафта;35;42;2308-1961|1994-4683;;;;
18;Вопросы образования/Educational Studies Moscow;34;47;2412-4354|1814-9545;VOPROSY OBRAZOVANIYA / EDUCATIONAL STUDIES MOSCOW|ВОПРОСЫ ОБРАЗОВАНИЯ;1;0,378;Q2
19;Вестник Казанского государственного аграрного университета;34;46;2073-0462;ВЕСТНИК КАЗАНСКОГО ГОСУДАРСТВЕННОГО АГРАРНОГО УНИВЕРСИТЕТА;2;;
20;Вестник Государственного университета управления;34;44;1816-4277;;;;
21;Социологические исследования;34;44;0132-1625;SOTSIOLOGICHESKIE ISSLEDOVANIIA|СОЦИОЛОГИЧЕСКИЕ ИССЛЕДОВАНИЯ;2;0,282;Q2
22;Современные проблемы науки и образования;33;43;2070-7428;;;;
23;Интернаука;33;42;2542-0348;;;;
24;Проблемы современного педагогического образования;32;44;2311-1305;;;;
25;Московский экономический журнал;32;37;2413-046X;;;;
26;Вестник Воронежского института высоких технологий;31;55;1994-1730;;;;
27;Вестник Алтайской академии экономики и права;31;43;1818-4057|2226-3977;;;;
28;Моделирование систем и процессов;31;43;2219-0767;;;;
29;Вестник евразийской науки;31;38;2588-0101;;;;
30;АКТУАЛЬНОЕ В ФИЛОЛОГИИ;30;74;;;;;
31;Re-health Journal;30;44;2181-0443;;;;
32;Экономика. Налоги. Право;30;43;1999-849X;;;;
33;Наука Красноярья;30;40;2070-7568|2782-3261;;;;
34;Евразийский кардиологический журнал;30;39;2225-1685|2305-0748;;;;
35;Фундаментальные исследования;30;39;1812-7339;;;;
36;Азимут научных исследований: педагогика и психология;30;36;2712-8474;;;;
37;Известия Санкт-Петербургского государственного экономического университета;29;42;2311-3464;;;;
38;Креативная экономика;29;42;1994-6929|2409-4684;;;;
39;Вестник Курской государственной сельскохозяйственной академии;29;41;1997-0749;;;;
40;Central Asian Journal of Theoretical and Applied Science;29;39;2660-5317;;;;
41;Балтийский гуманитарный журнал;29;38;2712-9780;;;;
42;Проблемы современной науки и образования;29;38;2304-2338|2413-4635;;;;
43;Перспективы науки и образования;29;37;2307-2334;PERSPEKTIVY NAUKI I OBRAZOVANIA|ПЕРСПЕКТИВЫ НАУКИ И ОБРАЗОВАНИЯ;4;0,151;Q2
44;Вестник Санкт-Петербургского государственного университета технологии и дизайна. Серия 4: Промышленные технологии;28;66;2619-0729;;;;
45;Вестник Университета имени ОЕ Кутафина;28;41;2311-5998|2782-6163;;;;
46;Вестник Российского экономического университета им. ГВ Плеханова;28;40;2413-2829|2587-9251;;;;
47;Вопросы инновационной экономики;28;39;2222‑0372;;;;
48;Terapevticheskii Arkhiv;28;38;0040-3660|2309-5342;TERAPEVTICHESKII ARKHIV|ТЕРАПЕВТИЧЕСКИЙ АРХИВ;2;0,167;Q2
49;Теория и практика физической культуры;28;38;0040-3601;TEORIYA I PRAKTIKA FIZICHESKOY KULTURY|ТЕОРИЯ И ПРАКТИКА ФИЗИЧЕСКОЙ КУЛЬТУРЫ;3;0,197;Q3
50;Актуальные вопросы современной экономики;28;36;2311-4320;;;;
51;Записки Горного института;28;36;2411-3336|2541-9404;JOURNAL OF MINING INSTITUTE|ЗАПИСКИ ГОРНОГО ИНСТИТУТА;1;0,782;Q1
52;Известия Оренбургского государственного аграрного университета;28;35;2073-0853;;;;
53;Международный бухгалтерский учет;28;35;2073-5081|2311-9381;;;;
54;Вопросы науки и образования;28;34;2542-081Х;;;;
55;Инновации и инвестиции;27;50;2307-180X;;;;
56;Закон;27;42;0869-4400;ЗАКОН;2;;
57;Международный сельскохозяйственный журнал;27;39;2587-6740;МЕЖДУНАРОДНЫЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ЖУРНАЛ;3;;
58;Общество и инновации;27;39;2181-1415;;;;
59;Экономика и право;27;39;2410-289X|2541-7797;;;;
60;Международный журнал гуманитарных и естественных наук;27;38;2500-1000|2500-1086;;;;
61;Туберкулез и болезни легких;27;38;2542-1506|2075-1230;TUBERKULËZ I BOLEZNI LËGKIKH|ТУБЕРКУЛЕЗ И БОЛЕЗНИ ЛЕГКИХ;2;0,179;Q4
62;Юридическая наука: история и современность;27;36;2218-7170;;;;
63;Экономика сельскохозяйственных и перерабатывающих предприятий;27;35;0235-2494;;;;
64;Педагогика;27;33;0869-561X;;;;
65;Экономические отношения;27;33;2587‑8921;;;;
66;Вестник Чувашской государственной сельскохозяйственной академии;27;32;2782-4136;;;;
67;Кардиология;26;44;2412-5660|0022-9040;KARDIOLOGIYA|КАРДИОЛОГИЯ;3;0,214;Q4
68;Аллея науки;26;43;2587-6244;;;;
69;Государство и право;26;41;2713-0398|1026-9452;GOSUDARSTVO I PRAVO|ГОСУДАРСТВО И ПРАВО;3;0,186;Q3
70;Вестник Брянской государственной сельскохозяйственной академии;26;40;2500-2651;;;;
71;Вестник Саратовского государственного социально-экономического университета;26;39;1994-5094;;;;
72;Научно-технические ведомости Санкт-Петербургского государственного политехнического университета. Экономические науки;26;39;2782-6015;;;;
73;Проблемы прогнозирования;26;39;0868-6351;ПРОБЛЕМЫ ПРОГНОЗИРОВАНИЯ;2;;
74;Мировая экономика и международные отношения;26;38;0131-2227;MIROVAYA EKONOMIKA I MEZHDUNARODNYE OTNOSHENIYA|МИРОВАЯ ЭКОНОМИКА И МЕЖДУНАРОДНЫЕ ОТНОШЕНИЯ;2;0,294;Q2
75;Экономика сельского хозяйства России;26;37;2070-0288;ЭКОНОМИКА СЕЛЬСКОГО ХОЗЯЙСТВА РОССИИ;3;;
76;Азимут научных исследований: экономика и управление;26;36;2712-8482;;;;
77;Конституционное и муниципальное право;26;36;1812-3767;;;;
78;Вестник НГИЭИ;26;35;2227-9407;;;;
79;Власть;26;34;2071-5358;;;;
80;Экономика: вчера, сегодня, завтра;26;34;2222-9167;;;;
81;БСТ: Бюллетень строительной техники;25;45;0007-7690;;;;
82;Мир новой экономики;25;41;2220-6469|2220-7872;;;;
83;Мир науки, культуры, образования;25;38;1991-5497|1991-5500;;;;
84;Ярославский педагогический вестник;25;37;1813-145X;;;;
85;Administrative Consulting;25;35;2713-3230;;;;
86;Вестник Российского университета дружбы народов. Серия: Социология;25;35;2313-2272|2408-8897;RUDN JOURNAL OF SOCIOLOGY - VESTNIK ROSSIISKOGO UNIVERSITETA DRUZHBY NARODOV SERIYA SOTSIOLOGIYA|ВЕСТНИК РОССИЙСКОГО УНИВЕРСИТЕТА ДРУЖБЫ НАРОДОВ. СЕРИЯ: СОЦИОЛОГИЯ;2;0,356;Q2
87;Вестник Красноярского государственного аграрного университета;25;34;1819-4036;ВЕСТНИК КРАСГАУ;3;;
88;Психологическая наука и образование;25;34;1814-2052|2311-7273;PSIKHOLOGICHESKAYA NAUKA I OBRAZOVANIE - PSYCHOLOGICAL SCIENCE AND EDUCATION|ПСИХОЛОГИЧЕСКАЯ НАУКА И ОБРАЗОВАНИЕ;1;0,264;Q3
89;Финансы: теория и практика;25;34;2587-5671|2587-7089;FINANCE: THEORY AND PRACTICE|ФИНАНСЫ: ТЕОРИЯ И ПРАКТИКА;3;0,217;Q3
90;Экономика труда;25;33;2410‑1613|2412‑8929;;;;
91;Экономические и социальные перемены: факты, тенденции, прогноз;25;33;1998-0698|2312-9816;;;;
92;Полис. Политические исследования;25;32;1026-9487|1684-0070;POLIS - POLITICHESKIYE ISSLEDOVANIYA|ПОЛИС. ПОЛИТИЧЕСКИЕ ИССЛЕДОВАНИЯ;1;0,307;Q2
93;Вектор экономики;25;30;2500-3666;;;;
94;European Science;24;44;2410-2865;;;;
95;Кардиоваскулярная терапия и профилактика;24;39;2619-0125|1728-8800;CARDIOVASCULAR THERAPY AND PREVENTION (RUSSIAN FEDERATION)|КАРДИОВАСКУЛЯРНАЯ ТЕРАПИЯ И ПРОФИЛАКТИКА;3;0,209;Q3
96;Всероссийский криминологический журнал;24;38;2500-4255|2500-1442;RUSSIAN JOURNAL OF CRIMINOLOGY|ВСЕРОССИЙСКИЙ КРИМИНОЛОГИЧЕСКИЙ ЖУРНАЛ;4;;
97;Национальные интересы: приоритеты и безопасность;24;38;2073-2872|2311-875X;;;;
98;Вестник Института экономики Российской академии наук;24;37;2073-6487;;;;
99;Вестник Ульяновской государственной сельскохозяйственной академии;24;37;1816-4501;ВЕСТНИК УЛЬЯНОВСКОЙ ГОСУДАРСТВЕННОЙ СЕЛЬСКОХОЗЯЙСТВЕННОЙ АКАДЕМИИ;3;;
100;Вестник Рязанского государственного агротехнологического университета им. ПА Костычева;24;36;2077-2084;;;;
